Mes;Regional;Ciudad;dependencia;Ftes Fijos;Ftes Variables;Total Ftes;Total Fijo;Total Variable;Total Servicio
MARZO;Centro;BOGOTA D.C.;CARULLA EXPRESS MALL 138;2;0;2;$ 8.924.451,25; $ -   ;$ 8.924.451,25
MARZO;Centro;BOGOTA D.C.;CARULLA COUNTRY;9,997;0;9,997;$ 38.788.530,89; $ -   ;$ 38.788.530,89
MARZO;Centro;BOGOTA D.C.;CARULLA PEPE SIERRA;9,366;-0,509;8,857;$ 37.195.659,88;-$ 2.301.074,46;$ 34.894.585,42
MARZO;Centro;CHIA;CARULLA CENTRO CHIA;4,664;-0,054;4,61;$ 17.741.937,23;-$ 205.704,63;$ 17.536.232,60
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 63;9,532;0,6;10,132;$ 38.133.821,67;$ 708.908,40;$ 38.842.730,07
MARZO;Centro;BOGOTA D.C.;CARULLA ALHAMBRA;6,864;0,033;6,897;$ 26.549.623,74;$ 165.971,27;$ 26.715.595,01
MARZO;Centro;BOGOTA D.C.;CARULLA BELLA SUIZA;0;0,183;0,183; $ -   ;$ 873.458,17;$ 873.458,17
MARZO;Centro;BOGOTA D.C.;EXITO SUBA;11,999;-1;10,999;$ 46.383.778,88;-$ 3.797.624,00;$ 42.586.154,88
MARZO;Centro;BOGOTA D.C.;CARULLA NOGAL;0;0,394;0,394; $ -   ;$ 1.946.293,92;$ 1.946.293,92
MARZO;Centro;BOGOTA D.C.; Exito Mall Plaza NQS;5,998;0;5,998;$ 23.191.889,44; $ -   ;$ 23.191.889,44
MARZO;Centro;BOGOTA D.C.;EXITO EXPRESS CARRERA 7 CON 60;1;0;1;$ 3.915.775,40; $ -   ;$ 3.915.775,40
MARZO;Centro;BOGOTA D.C.;CARULLA ROSALES;5,866;0,524;6,39;$ 23.726.748,78;$ 2.002.194,48;$ 25.728.943,26
